entity_id,eia_location,confidence,n_months,pearson_raw,pearson_raw_p,spearman_raw,spearman_raw_p,pearson_anom,pearson_anom_p,spearman_anom,spearman_anom_p,best_lag,best_lag_corr
USGS-01184000,CT,high,268,0.4791922736361481,8.603520808710686e-17,0.7508183987127559,7.943314668019933e-50,0.37211765272060465,3.160181835398838e-10,0.6073830754335752,2.063749948168798e-28,0,0.6073830754335752
USGS-01358000,NY,high,268,0.3466422290789902,5.54236097907259e-09,0.37807183954086127,1.559174143651761e-10,0.29289131052098116,1.061611562928449e-06,0.333873633378573,2.1218460360252138e-08,0,0.333873633378573
USGS-01434000,PA,high,269,0.6350713421452098,8.810747934550097e-32,0.7004310388008983,5.410109946401582e-41,0.47574728629695767,1.3406937199413732e-16,0.5003723637081013,1.8886553022097823e-18,0,0.5003723637081013
USGS-01536500,PA,high,269,0.7368854360622225,2.6201346962193287e-47,0.7751268440942747,3.577949666698747e-55,0.5422253705752288,5.821636415370257e-22,0.5554895904615706,3.5200877645071563e-23,0,0.5554895904615706
USGS-01570500,PA,high,269,0.7841346876529067,2.964033236137021e-57,0.8222727749110704,2.54995633272055e-67,0.598510484116382,1.566334239510933e-27,0.6189856171435265,7.649755574434606e-30,0,0.6189856171435265
USGS-01578310,MD,high,269,0.9066833633058491,4.337108841193872e-102,0.9692681217931712,1.214990225800165e-164,0.6883795841163844,4.1208854676708914e-39,0.7147769077131324,2.325137099689142e-43,0,0.7147769077131324
USGS-01646500,MD,high,269,0.7152429040602727,1.9369616640028014e-43,0.7943850749944725,9.502562243319775e-60,0.44980940350960796,8.36786286521623e-15,0.4596994056513346,1.8029051944339584e-15,0,0.4596994056513346
USGS-02047500,VA,high,269,0.37439923174117873,2.2351373690817912e-10,0.4541619376241949,4.284353029611302e-15,0.34762072527731613,4.668550838019898e-09,0.3963661242064391,1.487970214762446e-11,0,0.3963661242064391
USGS-02198500,GA,high,269,0.8166174516570976,1.1102597782229054e-65,0.715944859954397,1.4700245349868268e-43,0.7096471500112085,1.6955380465884882e-42,0.621683404538645,3.6842386052752015e-30,0,0.621683404538645
USGS-02231000,FL,high,259,0.057820414787620025,0.35402718982746323,0.17790402086710208,0.004076346950165945,0.16099882351235362,0.009446676619248143,0.15378122518087065,0.013224744808712741,0,0.15378122518087065
