entity_id,station_name,state,region,hydrologic_unit_code,latitude,longitude,drainage_area,major_hydro_basin,hydro_relevant
USGS-11251000,SAN JOAQUIN R BL FRIANT CA,California,California,180400010302,36.9843939698554,-119.724312421627,1676.0,San Joaquin,true
USGS-11383500,DEER C NR VINA CA,California,California,180201570206,40.014021434336385,-121.9482871705239,208.0,,true
USGS-11425500,SACRAMENTO R A VERONA CA,California,California,180201610402,38.774322583790116,-121.59825928205096,21251.0,Sacramento,true
USGS-11467000,RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA,California,California,180101100903,38.508482040255636,-122.9277345330354,1338.0,Russian,true
USGS-11478500,VAN DUZEN R NR BRIDGEVILLE CA,California,California,180101050905,40.48038503009366,-123.89084613017269,222.0,,true
USGS-11522500,SALMON R A SOMES BAR CA,California,California,180102100404,41.37648796100991,-123.47696148645007,751.0,Salmon,true
USGS-12010000,"NASELLE RIVER NEAR NASELLE, WA",Washington,Pacific Northwest,171001060502,46.3739937011528,-123.743482000849,54.8,,true
USGS-12101500,"PUYALLUP RIVER AT PUYALLUP, WA",Washington,Pacific Northwest,171100140502,47.208433578519,-122.327065234431,948.0,Puyallup,true
USGS-12113000,"GREEN RIVER NEAR AUBURN, WA",Washington,Pacific Northwest,171100130304,47.3123228109699,-122.204008194294,399.0,,true
USGS-12194000,"SKAGIT RIVER NEAR CONCRETE, WA",Washington,Pacific Northwest,171100070104,48.5242805851056,-121.770974074114,2737.0,Skagit,true
USGS-13269000,SNAKE RIVER AT WEISER ID,Idaho,Pacific Northwest,170502010106,44.2455555555556,-116.980833333333,69200.0,Snake,true
USGS-13336500,SELWAY RIVER NR LOWELL ID,Idaho,Pacific Northwest,170603020403,46.0866666666667,-115.513888888889,1915.0,Selway,true
USGS-14105700,"COLUMBIA RIVER AT THE DALLES, OR",Oregon,Pacific Northwest,170701050406,45.6082777777778,-121.189916666667,237000.0,Columbia,true
