entity_id,station_name,state,region,latitude,longitude,hydrologic_unit_code,site_type,agency_code,drainage_area,first_year_of_record,earliest_verified_year
USGS-10109000,"LOGAN RIVER ABOVE STATE DAM, NEAR LOGAN, UT",Utah,Great Basin/Southwest,41.74355,-111.783980555556,160102030307,Stream,USGS,214.0,1953,2004
USGS-10310000,"W FK CARSON RV AT WOODFORDS, CA",California,Great Basin/Southwest,38.7696276507815,-119.833789081103,160502010304,Stream,USGS,65.4,1900,2004
USGS-10338000,TRUCKEE R NR TRUCKEE CA,California,Great Basin/Southwest,39.29627044448282,-120.205451874931,160501020202,Stream,USGS,553.0,1944,2004
USGS-10346000,TRUCKEE R A FARAD CA,California,Great Basin/Southwest,39.4279364784483,-120.03406024068215,160501020502,Stream,USGS,932.0,1909,2004
USGS-11251000,SAN JOAQUIN R BL FRIANT CA,California,California,36.9843939698554,-119.724312421627,180400010302,Stream,USGS,1676.0,1907,2004
USGS-11383500,DEER C NR VINA CA,California,California,40.014021434336385,-121.9482871705239,180201570206,Stream,USGS,208.0,1911,2004
USGS-11425500,SACRAMENTO R A VERONA CA,California,California,38.774322583790116,-121.59825928205096,180201610402,Stream,USGS,21251.0,1929,2004
USGS-11467000,RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA,California,California,38.508482040255636,-122.9277345330354,180101100903,Stream,USGS,1338.0,1939,2004
USGS-11478500,VAN DUZEN R NR BRIDGEVILLE CA,California,California,40.48038503009366,-123.89084613017269,180101050905,Stream,USGS,222.0,1950,2004
USGS-11522500,SALMON R A SOMES BAR CA,California,California,41.37648796100991,-123.47696148645007,180102100404,Stream,USGS,751.0,1911,2004
USGS-12010000,"NASELLE RIVER NEAR NASELLE, WA",Washington,Pacific Northwest,46.3739937011528,-123.743482000849,171001060502,Stream,USGS,54.8,1929,2004
USGS-12101500,"PUYALLUP RIVER AT PUYALLUP, WA",Washington,Pacific Northwest,47.208433578519,-122.327065234431,171100140502,Stream,USGS,948.0,1914,2004
USGS-12113000,"GREEN RIVER NEAR AUBURN, WA",Washington,Pacific Northwest,47.3123228109699,-122.204008194294,171100130304,Stream,USGS,399.0,1936,2004
USGS-12194000,"SKAGIT RIVER NEAR CONCRETE, WA",Washington,Pacific Northwest,48.5242805851056,-121.770974074114,171100070104,Stream,USGS,2737.0,1924,2004
USGS-13269000,SNAKE RIVER AT WEISER ID,Idaho,Pacific Northwest,44.2455555555556,-116.980833333333,170502010106,Stream,USGS,69200.0,1910,2004
USGS-13336500,SELWAY RIVER NR LOWELL ID,Idaho,Pacific Northwest,46.0866666666667,-115.513888888889,170603020403,Stream,USGS,1915.0,1911,2004
USGS-14105700,"COLUMBIA RIVER AT THE DALLES, OR",Oregon,Pacific Northwest,45.6082777777778,-121.189916666667,170701050406,Stream,USGS,237000.0,1878,2004
